championId,count,win,kills,deaths,assists,winRate,kda,totalMinionsKilled,goldEarned
202,1949,1000,12935,9088,16572,0.513083632632119,3.2468089788732395,194.05643919958953,12019.273986659826
104,1839,1002,13150,8872,14727,0.5448613376835236,3.1421325518485124,48.92713431212616,11993.133768352365
145,1748,841,12456,9397,11544,0.48112128146453087,2.554006597850378,195.02059496567506,12163.70366132723
164,1394,703,7921,7563,8034,0.5043041606886657,2.109612587597514,160.22668579626972,10774.49569583931
236,1338,644,8575,8069,8063,0.4813153961136024,2.0619655471557814,186.65097159940208,11749.824364723469
89,1206,611,2084,7166,14792,0.5066334991708126,2.3550097683505444,34.17081260364842,7168.761194029851
81,1164,559,6972,6317,7895,0.4802405498281787,2.35349058097198,184.1408934707904,11423.714776632303
875,1124,553,3928,6636,10956,0.4919928825622776,2.24291742013261,71.33274021352314,8452.30871886121
412,1092,578,1741,5621,15448,0.5293040293040293,3.0579967977228253,32.290293040293044,7294.465201465201
84,1068,482,7144,5818,5503,0.45131086142322097,2.1737710553454797,170.06460674157304,10777.923220973782
80,1009,517,4862,6686,9867,0.512388503468781,2.2029614119054743,47.998017839445,8480.632309217046
517,962,494,5449,5573,6395,0.5135135135135135,2.1252467252826124,146.97193347193348,10240.138253638253
876,933,492,6202,4371,8613,0.5273311897106109,3.3893845801876,43.60235798499464,11321.23258306538
12,893,446,1428,4953,12170,0.49944008958566627,2.745406824146982,30.829787234042552,7032.021276595745
120,834,394,6002,4376,7005,0.4724220623501199,2.9723491773308957,35.34772182254196,11376.97721822542
203,828,376,5999,4910,5981,0.45410628019323673,2.439918533604888,38.64009661835749,11000.274154589371
57,794,440,1960,4854,8996,0.5541561712846348,2.2571075401730534,52.12090680100756,7822.22040302267
76,788,422,5919,3653,6547,0.5355329949238579,3.4125376402956475,30.63705583756345,11512.388324873096
141,773,378,6007,4348,5959,0.4890038809831824,2.752069917203312,38.543337645536866,11459.538163001294
3,711,428,3186,3482,8052,0.6019690576652602,3.227455485353245,128.26582278481013,9455.222222222223
126,709,367,4001,4287,4844,0.5176304654442877,2.0632143690226266,180.3638928067701,11520.290550070522
21,695,390,4914,3744,5195,0.5611510791366906,2.7000534188034186,198.99856115107914,12394.31654676259
245,693,333,4895,3336,4526,0.4805194805194805,2.824040767386091,126.91630591630592,11161.326118326118
112,622,304,3212,3502,4596,0.4887459807073955,2.229583095374072,177.33440514469453,10806.926045016076
523,621,336,3893,3395,4195,0.5410628019323671,2.3823269513991163,199.96296296296296,12213.924315619968
58,613,315,2929,3091,3621,0.5138662316476346,2.119055321902297,178.2430668841762,10960.995106035889
64,597,278,3989,3216,5101,0.4656616415410385,2.826492537313433,27.633165829145728,10697.651591289783
360,531,242,4104,3236,3822,0.455743879472693,2.449320148331273,186.27871939736346,12098.141242937852
142,498,254,2720,2087,3759,0.5100401606425703,3.1044561571633924,169.00200803212851,10604.706827309237
121,485,224,3751,2522,3098,0.4618556701030928,2.7157018239492468,26.121649484536082,10913.915463917525
98,478,246,1677,2174,5108,0.5146443514644351,3.1209751609935603,121.418410041841,9145.219665271967
266,474,243,2238,2584,2989,0.5126582278481012,2.0228328173374615,148.25527426160338,10395.035864978903
61,465,232,2143,2162,3889,0.4989247311827957,2.790009250693802,182.67956989247313,10855.905376344086
421,449,204,3086,2528,3357,0.45434298440979953,2.548655063291139,22.044543429844097,10628.044543429844
22,439,244,2111,2430,4429,0.5558086560364465,2.691358024691358,169.43280182232346,11077.546697038724
54,439,235,1738,2054,3500,0.5353075170842825,2.5501460564751706,145.6856492027335,9440.660592255126
24,433,184,2177,2551,1994,0.42494226327944573,1.6350450803606429,166.67898383371823,10956.0
2,427,256,3164,2138,3212,0.5995316159250585,2.9822263797942004,37.4519906323185,11200.594847775175
432,403,213,804,1868,5782,0.5285359801488834,3.5256959314775163,33.80397022332506,7559.382133995037
497,393,161,630,1950,5299,0.40966921119592875,3.0405128205128205,27.791348600508904,7135.6488549618325
555,379,181,2274,2367,3208,0.47757255936675463,2.316011829319814,44.71767810026385,9950.965699208444
117,375,201,909,1606,4283,0.536,3.232876712328767,96.16266666666667,8228.794666666667
163,350,181,2750,2080,3438,0.5171428571428571,2.975,61.73714285714286,11751.474285714286
134,343,183,1872,1664,2390,0.5335276967930029,2.561298076923077,185.07871720116617,11033.819241982508
